State;Year;Month Code;Avg Day Land Surface Temperature (C);Avg Night Land Surface Temperature (C)
Arkansas;2007;8;33.84912;21.93125
Arkansas;2007;9;29.14635;16.40160
Arkansas;2007;10;24.87309;11.90172
Arkansas;2007;11;18.33133;6.48093
Arkansas;2007;12;12.68434;0.55438
Arkansas;2008;1;9.71635;-0.38291
Arkansas;2008;2;14.32771;0.81787
Arkansas;2008;3;21.02439;5.16406
Arkansas;2008;4;23.32727;8.42040
Arkansas;2008;5;27.00876;13.83889
Arkansas;2008;6;29.82479;20.47535
Arkansas;2008;7;31.71456;20.59754
Arkansas;2008;8;29.74364;20.18025
Arkansas;2008;9;26.52034;14.90998
Arkansas;2008;10;22.51518;9.22357
Arkansas;2008;11;17.73138;3.88305
Arkansas;2008;12;11.32241;-0.02755
California;2003;1;17.57769;3.06637
California;2003;2;15.69074;0.30464
California;2003;3;22.57554;3.70054
California;2003;4;26.85289;4.19633
California;2003;5;34.32224;9.62301
California;2003;6;40.84214;14.55348
California;2003;7;43.20693;17.57941
California;2003;8;40.71451;16.15183
California;2003;9;39.26871;15.31199
California;2003;10;32.91488;11.39732
California;2003;11;16.98916;1.87101
California;2003;12;13.17180;-0.21711
California;2004;1;13.53261;-0.65264
California;2004;2;15.41418;-0.90612
California;2004;3;26.48335;6.62345
California;2004;4;31.03394;7.38285
California;2004;5;36.09011;9.97568
California;2004;6;40.93535;13.98504
California;2004;7;43.03602;16.89088
California;2004;8;42.02288;16.23185
California;2004;9;38.14919;13.45897
California;2004;10;28.86212;8.85394
California;2004;11;16.44960;2.69791
California;2004;12;14.04822;0.82457
California;2005;1;12.49883;0.61528
California;2005;2;15.23495;1.09056
California;2005;3;21.87507;4.07772
California;2005;4;26.44796;4.77198
California;2005;5;34.30474;10.62251
California;2005;6;37.80610;12.40780
California;2005;7;43.03490;18.31466
California;2005;8;41.10221;16.84522
California;2005;9;35.61139;12.04207
California;2005;10;28.97911;8.98691
California;2005;11;21.68393;4.46659
California;2005;12;13.92386;0.37902
California;2006;1;14.68334;0.64643
California;2006;2;19.81324;1.48136
California;2006;3;18.76692;-0.33051
California;2006;4;27.66625;5.54607
California;2006;5;35.11635;10.88850
California;2006;6;40.67921;15.11000
California;2006;7;43.02243;18.24360
California;2006;8;41.12286;15.77567
California;2006;9;37.17659;13.47922
California;2006;10;27.91403;7.53303
California;2006;11;21.32772;4.34555
California;2006;12;14.40666;-0.23066
California;2007;1;13.52674;-1.73098
California;2007;2;18.60834;1.28483
California;2007;3;26.50540;4.89166
California;2007;4;29.90312;6.30822
California;2007;5;36.88550;10.16240
California;2007;6;41.67903;13.57293
California;2007;7;43.58555;16.91662
California;2007;8;42.23853;16.59982
California;2007;9;36.79477;12.79904
California;2007;10;28.85138;8.22875
California;2007;11;22.12052;4.94451
California;2007;12;12.27708;-1.13395
California;2008;1;11.79444;-1.76464
California;2008;2;16.85316;0.28008
California;2008;3;23.92152;2.75458
California;2008;4;29.90898;5.42074
California;2008;5;35.70493;9.71847
California;2008;6;41.23287;13.84656
California;2008;7;42.84776;17.30928
California;2008;8;42.63397;17.15634
California;2008;9;39.32210;14.38569
California;2008;10;31.24854;9.02689
California;2008;11;22.38243;5.63147
California;2008;12;13.02379;0.14522
Colorado;2003;1;6.81965;-9.16727
Colorado;2003;2;4.02549;-13.20856
Colorado;2003;3;15.38550;-6.67924
Colorado;2003;4;25.16480;-1.60418
Colorado;2003;5;30.62062;3.18321
Colorado;2003;6;33.77895;7.19399
Colorado;2003;7;42.79239;13.10194
Colorado;2003;8;38.32950;11.86454
Colorado;2003;9;30.58508;5.53034
Colorado;2003;10;27.29559;2.45759
Colorado;2003;11;11.04872;-7.55295
Colorado;2003;12;3.69595;-11.33645
Colorado;2004;1;1.78898;-12.86312
Colorado;2004;2;0.18796;-13.89266
Colorado;2004;3;20.70421;-3.66702
Colorado;2004;4;24.44709;-1.08463
Colorado;2004;5;31.88109;3.93809
Colorado;2004;6;36.36740;7.46782
Colorado;2004;7;36.87730;10.34885
Colorado;2004;8;34.38294;9.39097
Colorado;2004;9;31.50066;7.29914
Colorado;2004;10;21.15572;1.10527
Colorado;2004;11;8.96811;-6.44651
Colorado;2004;12;3.26504;-9.93861
Colorado;2005;1;3.96752;-9.27410
Colorado;2005;2;8.04686;-10.07749
Colorado;2005;3;15.35295;-7.43607
Colorado;2005;4;21.77529;-2.39667
Colorado;2005;5;30.72791;3.70326
Colorado;2005;6;34.77948;8.22080
Colorado;2005;7;41.21214;12.51337
Colorado;2005;8;35.06489;10.27460
Colorado;2005;9;32.29708;7.56324
Colorado;2005;10;22.08304;1.99868
Colorado;2005;11;11.96955;-5.66086
Colorado;2005;12;3.17835;-11.81769
Colorado;2006;1;4.98801;-10.15676
Colorado;2006;2;9.19583;-11.43923
Colorado;2006;3;15.93887;-7.46189
Colorado;2006;4;26.86002;-0.69161
Colorado;2006;5;33.89284;4.04484
Colorado;2006;6;40.11491;9.77112
Colorado;2006;7;39.04636;12.56351
Colorado;2006;8;33.40605;10.41364
Colorado;2006;9;28.59400;4.65251
Colorado;2006;10;18.22996;-0.27101
Colorado;2006;11;13.12553;-4.95529
Colorado;2006;12;0.97675;-11.52428
Colorado;2007;1;-3.96296;-15.26126
Colorado;2007;2;1.93640;-11.01284
Colorado;2007;3;16.86227;-4.28691
Colorado;2007;4;22.93836;-1.58561
Colorado;2007;5;29.41468;3.69737
Colorado;2007;6;36.08890;8.38618
Colorado;2007;7;38.97665;12.32756
Colorado;2007;8;35.93248;12.61256
Colorado;2007;9;30.81717;8.04404
Colorado;2007;10;23.18562;1.63760
Colorado;2007;11;16.49560;-4.39361
Colorado;2007;12;-3.22990;-13.98718
Colorado;2008;1;-3.09455;-15.58530
Colorado;2008;2;4.52770;-11.72837
Colorado;2008;3;13.75894;-8.16626
Colorado;2008;4;22.91665;-3.88974
Colorado;2008;5;30.33437;1.99611
Colorado;2008;6;36.95135;7.87258
Colorado;2008;7;40.02721;11.87139
Colorado;2008;8;35.02133;11.14090
Colorado;2008;9;30.03500;6.40166
Colorado;2008;10;22.30533;0.59714
Colorado;2008;11;14.44133;-4.48026
Colorado;2008;12;1.66692;-11.44102
Connecticut;2003;1;-2.55776;-12.03525
Connecticut;2003;2;-0.42334;-9.25512
Connecticut;2003;3;10.73263;-3.30919
Connecticut;2003;4;21.23389;2.56555
Connecticut;2003;5;21.95450;6.30375
Connecticut;2003;6;26.63706;13.37451
Connecticut;2003;7;26.31344;15.77847
Connecticut;2003;8;25.27100;16.35561
Connecticut;2003;9;22.51704;11.65504
Connecticut;2003;10;15.23534;5.20890
Connecticut;2003;11;11.61415;1.96059
Connecticut;2003;12;4.38270;-3.84310
Connecticut;2004;1;-4.31605;-11.01494
Connecticut;2004;2;4.04595;-6.45437
Connecticut;2004;3;12.22739;-2.87666
Connecticut;2004;4;19.64165;2.29960
Connecticut;2004;5;24.43499;9.25560
Connecticut;2004;6;25.10678;12.18930
Connecticut;2004;7;25.26733;15.61989
Connecticut;2004;8;24.39814;14.65572
Connecticut;2004;9;21.90976;12.29888
Connecticut;2004;10;16.73849;6.13625
Connecticut;2004;11;10.47371;0.57170
Connecticut;2004;12;4.28121;-4.80835
Connecticut;2005;1;-1.48582;-7.21664
Connecticut;2005;2;3.42767;-5.95400
Connecticut;2005;3;7.61337;-5.15326
Connecticut;2005;4;21.78835;2.25796
Connecticut;2005;5;20.91279;5.95122
Connecticut;2005;6;26.76769;14.65388
Connecticut;2005;7;27.13151;16.64284
Connecticut;2005;8;27.61671;16.44284
Connecticut;2005;9;26.07054;13.37703
Connecticut;2005;10;18.15547;6.76194
Connecticut;2005;11;11.91290;1.95227
Connecticut;2005;12;2.23422;-4.48900
Connecticut;2006;1;5.16545;-2.00666
Connecticut;2006;2;4.14817;-6.93209
Connecticut;2006;3;12.12758;-3.93082
Connecticut;2006;4;21.96019;2.92791
Connecticut;2006;5;23.32944;7.81040
Connecticut;2006;6;24.97192;13.66042
Connecticut;2006;7;27.08988;16.96196
Connecticut;2006;8;26.43119;16.12518
Connecticut;2006;9;21.12963;10.82649
Connecticut;2006;10;15.85397;5.00819
Connecticut;2006;11;12.34113;0.94239
Connecticut;2006;12;6.93981;-0.61391
Connecticut;2007;1;3.07194;-5.73171
Connecticut;2007;2;-0.25916;-9.91658
Connecticut;2007;3;11.17004;-3.05047
Connecticut;2007;4;19.77295;0.77437
Connecticut;2007;5;24.02178;9.31076
Connecticut;2007;6;25.86560;12.90653
Connecticut;2007;7;26.08686;14.55737
Connecticut;2007;8;26.97342;15.97714
Connecticut;2007;9;24.60609;12.31710
Connecticut;2007;10;19.53842;7.78073
Connecticut;2007;11;8.44815;-0.07411
Connecticut;2007;12;1.74507;-3.98966
Connecticut;2008;1;3.07267;-5.48310
Connecticut;2008;2;3.18501;-7.19442
Connecticut;2008;3;9.87137;-3.33575
Connecticut;2008;4;21.97854;3.04708
Connecticut;2008;5;22.38670;6.24943
Connecticut;2008;6;26.98037;14.62928
Connecticut;2008;7;26.94613;16.75068
Connecticut;2008;8;24.36568;14.14385
Connecticut;2008;9;23.12960;11.84862
Connecticut;2008;10;16.18940;4.93427
Connecticut;2008;11;6.55626;-1.55785
Connecticut;2008;12;4.69435;-3.65919
Delaware;2003;1;2.70667;-6.15278
Delaware;2003;2;2.73699;-4.77922
Delaware;2003;3;15.98417;1.36920
Delaware;2003;4;23.23405;5.87818
Delaware;2003;5;24.33031;8.32560
Delaware;2003;6;28.82019;15.62640
Delaware;2003;7;30.05511;18.55049
Delaware;2003;8;27.51989;18.66309
Delaware;2003;9;24.67398;13.82459
Delaware;2003;10;19.45338;6.40053
Delaware;2003;11;16.69251;5.50499
Delaware;2003;12;6.91698;-1.38944
Delaware;2004;1;2.26825;-4.47901
Delaware;2004;2;7.77944;-3.03684
Delaware;2004;3;15.80737;-0.21775
Delaware;2004;4;22.62842;5.98024
Delaware;2004;5;29.10798;13.91644
Delaware;2004;6;28.95466;15.23817
Delaware;2004;7;29.68075;17.99093
Delaware;2004;8;26.79653;16.95529
Delaware;2004;9;25.78312;14.10902
Delaware;2004;10;20.47592;7.50853
Delaware;2004;11;13.92980;3.53174
Delaware;2004;12;8.20789;-1.50333
Delaware;2005;1;2.96405;-0.73037
Delaware;2005;2;7.50156;-2.73428
Delaware;2005;3;11.96373;-2.44050
Delaware;2005;4;23.21156;4.47047
Delaware;2005;5;25.19155;7.73563
Delaware;2005;6;29.55011;16.27325
Delaware;2005;7;30.08705;19.22477
Delaware;2005;8;29.80660;19.78560
Delaware;2005;9;29.87868;14.79837
Delaware;2005;10;21.67943;8.47618
Delaware;2005;11;15.19815;3.47067
Delaware;2005;12;5.36983;-2.97576
Delaware;2006;1;9.22720;-0.00879
Delaware;2006;2;8.06341;-3.42486
Delaware;2006;3;17.23192;-1.45440
Delaware;2006;4;24.80518;5.04109
Delaware;2006;5;27.96306;9.59940
Delaware;2006;6;29.91959;15.18221
Delaware;2006;7;29.92630;19.16579
Delaware;2006;8;30.93033;18.66539
Delaware;2006;9;24.57730;12.68433
Delaware;2006;10;20.18813;6.50001
Delaware;2006;11;15.88512;4.16964
Delaware;2006;12;10.99276;0.50896
Delaware;2007;1;7.51974;-1.77207
Delaware;2007;2;4.10223;-6.77873
Delaware;2007;3;17.15798;1.22828
Delaware;2007;4;24.03991;3.72114
Delaware;2007;5;28.11874;10.43774
Delaware;2007;6;31.63673;15.79621
Delaware;2007;7;31.56098;17.53731
Delaware;2007;8;31.53179;18.73736
Delaware;2007;9;29.12549;14.78676
Delaware;2007;10;24.13561;10.48416
Delaware;2007;11;12.64302;2.77844
Delaware;2007;12;7.15523;-0.87523
Delaware;2008;1;7.47204;-3.35968
Delaware;2008;2;9.09334;-2.42113
Delaware;2008;3;15.85927;0.10354
Delaware;2008;4;23.90173;5.79133
Delaware;2008;5;25.69974;8.64076
Delaware;2008;6;31.15385;17.25648
Delaware;2008;7;31.52374;18.69263
Delaware;2008;8;30.13941;16.20450
Delaware;2008;9;28.06733;14.30041
Delaware;2008;10;21.11748;7.47438
Delaware;2008;11;10.62840;0.09543
Delaware;2008;12;8.43653;-1.45532
District of Columbia;2003;1;5.15664;-4.48229
District of Columbia;2003;2;6.07938;-2.80899
District of Columbia;2003;3;19.48522;3.00836
District of Columbia;2003;4;27.36605;8.79541
District of Columbia;2003;5;28.11219;11.78448
District of Columbia;2003;6;33.68327;18.65551
District of Columbia;2003;7;34.63142;21.38553
District of Columbia;2003;8;33.81829;21.54901
District of Columbia;2003;9;27.94838;15.80818
District of Columbia;2003;10;21.95921;9.40409
District of Columbia;2003;11;18.29559;7.32940
District of Columbia;2003;12;9.27128;-0.21924
District of Columbia;2004;1;2.46133;-3.69955
District of Columbia;2004;2;11.38405;-1.22232
District of Columbia;2004;3;20.15468;2.46237
District of Columbia;2004;4;25.99728;8.66828
District of Columbia;2004;5;32.56744;17.33061
District of Columbia;2004;6;33.95891;18.09511
District of Columbia;2004;7;33.36076;21.06294
District of Columbia;2004;8;32.46834;19.85070
District of Columbia;2004;9;30.40193;16.86041
District of Columbia;2004;10;23.93195;10.38923
District of Columbia;2004;11;16.68869;5.45891
District of Columbia;2004;12;9.76681;-0.06895
District of Columbia;2005;1;6.06659;-1.79219
District of Columbia;2005;2;13.86927;-1.63941
District of Columbia;2005;3;15.26382;0.22368
District of Columbia;2005;4;28.09733;8.11489
District of Columbia;2005;5;29.43232;11.89641
District of Columbia;2005;6;34.91174;19.86848
District of Columbia;2005;7;35.17933;22.61764
District of Columbia;2005;8;35.50227;22.50278
District of Columbia;2005;9;33.70087;18.70898
District of Columbia;2005;10;23.91972;10.98089
District of Columbia;2005;11;15.90085;6.14489
District of Columbia;2005;12;7.39749;-1.47030
District of Columbia;2006;1;10.95098;1.05085
District of Columbia;2006;2;11.18309;-0.96793
District of Columbia;2006;3;20.19332;2.33611
District of Columbia;2006;4;27.93496;9.07437
District of Columbia;2006;5;31.08842;13.64525
District of Columbia;2006;6;34.72698;18.60282
District of Columbia;2006;7;35.86014;21.85053
District of Columbia;2006;8;37.14306;22.32759
District of Columbia;2006;9;28.49148;15.46838
District of Columbia;2006;10;22.37009;8.30246
District of Columbia;2006;11;17.17552;4.70082
District of Columbia;2006;12;11.80030;1.50884
District of Columbia;2007;1;9.54790;-1.69037
District of Columbia;2007;2;6.88839;-5.13831
District of Columbia;2007;3;20.43272;2.58612
District of Columbia;2007;4;29.61651;7.19106
District of Columbia;2007;5;32.01377;14.24158
District of Columbia;2007;6;35.73440;18.97218
District of Columbia;2007;7;37.40346;20.74027
District of Columbia;2007;8;37.60500;22.35012
District of Columbia;2007;9;33.37398;18.37413
District of Columbia;2007;10;27.25262;14.41782
District of Columbia;2007;11;14.34685;5.08319
District of Columbia;2007;12;9.31316;-0.43937
District of Columbia;2008;1;9.66253;-2.40720
District of Columbia;2008;2;12.26566;0.41153
District of Columbia;2008;3;18.67667;2.29740
District of Columbia;2008;4;26.84088;8.62373
District of Columbia;2008;5;30.56524;12.14015
District of Columbia;2008;6;35.17239;19.98664
District of Columbia;2008;7;36.14514;21.79452
District of Columbia;2008;8;35.08502;19.97747
District of Columbia;2008;9;31.21331;17.29828
District of Columbia;2008;10;23.19367;9.61963
District of Columbia;2008;11;13.34063;2.13058
District of Columbia;2008;12;8.31396;0.05546
Florida;2003;1;18.82271;5.04500
Florida;2003;2;24.00468;8.99470
Florida;2003;3;26.90738;15.11951
Florida;2003;4;29.07754;13.32447
Florida;2003;5;31.88120;18.51549
Florida;2003;6;30.13900;20.95037
Florida;2003;7;30.22061;21.59555
Florida;2003;8;28.82611;21.72089
Florida;2003;9;28.95533;19.90185
Florida;2003;10;28.10990;16.64437
Florida;2003;11;24.95834;14.05868
Florida;2003;12;19.78415;6.69902
Florida;2004;1;21.15560;7.28177
Florida;2004;2;23.16070;8.91474
Florida;2004;3;27.13194;11.43666
Florida;2004;4;29.98674;11.61113
Florida;2004;5;32.96262;17.08584
Florida;2004;6;31.89641;20.90950
Florida;2004;7;31.35931;21.47234
Florida;2004;8;29.81097;21.62296
Florida;2004;9;28.75417;20.66663
Florida;2004;10;27.41537;17.77476
Florida;2004;11;24.79546;13.68564
Florida;2004;12;19.87907;7.18119
Florida;2005;1;21.49634;9.23170
Florida;2005;2;23.92336;8.78724
Florida;2005;3;25.93796;9.37771
Florida;2005;4;28.79869;12.32150
Florida;2005;5;30.58613;16.49240
Florida;2005;6;30.43536;21.18464
Florida;2005;7;30.80260;22.64774
Florida;2005;8;30.60866;22.36510
Florida;2005;9;30.54057;20.54392
Florida;2005;10;26.79594;15.83533
Florida;2005;11;24.51118;13.33856
Florida;2005;12;20.13931;6.99432
Florida;2006;1;21.79294;8.83952
Florida;2006;2;22.96217;7.37267
Florida;2006;3;28.13803;10.71437
Florida;2006;4;32.35626;14.48633
Florida;2006;5;34.25747;16.08350
Florida;2006;6;33.90969;20.48319
Florida;2006;7;31.74296;21.18251
Florida;2006;8;31.26126;21.83806
Florida;2006;9;30.21219;20.01892
Florida;2006;10;28.47652;16.04724
Florida;2006;11;23.21528;10.23336
Florida;2006;12;21.88607;10.26197
Florida;2007;1;21.92962;10.04969
Florida;2007;2;23.88282;7.21764
Florida;2007;3;28.48843;10.84880
Florida;2007;4;31.50597;12.64884
Florida;2007;5;33.28543;15.76578
Florida;2007;6;33.00359;20.29595
Florida;2007;7;31.91032;21.78754
Florida;2007;8;32.12221;22.76160
Florida;2007;9;29.53839;20.47149
Florida;2007;10;27.81937;18.49603
Florida;2007;11;24.61987;11.08794
Florida;2007;12;24.05889;11.74350
Florida;2008;1;21.48100;8.31697
Florida;2008;2;24.62577;9.96992
Florida;2008;3;26.57129;10.98822
Florida;2008;4;29.88114;13.28518
Florida;2008;5;33.51099;16.90194
Florida;2008;6;33.02801;20.73371
Florida;2008;7;31.02576;21.44068
Florida;2008;8;30.32189;21.85658
Florida;2008;9;29.67702;20.18950
Florida;2008;10;26.75125;15.09060
Florida;2008;11;23.06391;9.37001
Florida;2008;12;22.52180;10.05519
Georgia;2003;1;12.70236;1.02993
Georgia;2003;2;17.25839;3.15752
Georgia;2003;3;23.47122;8.05312
Georgia;2003;4;26.59159;10.76902
Georgia;2003;5;28.26903;14.63114
Georgia;2003;6;29.07709;17.89833
Georgia;2003;7;28.54086;20.03111
Georgia;2003;8;28.01428;20.14262
Georgia;2003;9;27.24257;15.77613
Georgia;2003;10;25.41685;10.73193
Georgia;2003;11;21.88951;8.38459
Georgia;2003;12;14.37069;0.67609
Georgia;2004;1;14.56799;1.73195
Georgia;2004;2;16.27733;1.60764
Georgia;2004;3;24.27100;7.20978
Georgia;2004;4;28.06457;9.05382
Georgia;2004;5;30.82113;15.76715
Georgia;2004;6;29.47191;18.42008
Georgia;2004;7;30.28945;20.41922
Georgia;2004;8;29.21689;19.07199
Georgia;2004;9;27.06023;16.29244
Georgia;2004;10;24.84082;13.26498
Georgia;2004;11;19.64189;7.51858
Georgia;2004;12;14.58379;2.09347
Georgia;2005;1;16.03962;4.53540
Georgia;2005;2;17.66807;3.45204
Georgia;2005;3;21.91800;5.09362
Georgia;2005;4;25.37977;9.03296
Georgia;2005;5;28.31879;12.84931
Georgia;2005;6;29.17697;19.05426
Georgia;2005;7;29.62598;21.45372
Georgia;2005;8;28.80691;20.77271
Georgia;2005;9;29.96648;17.66600
Georgia;2005;10;25.35954;11.01155
Georgia;2005;11;21.19485;7.37392
Georgia;2005;12;13.85473;1.44673
Georgia;2006;1;17.15161;4.98302
Georgia;2006;2;17.00173;2.56899
Georgia;2006;3;23.52369;6.35163
Georgia;2006;4;29.24135;11.91554
